Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,0.6930479,26.18970189701897,-0.05365171,1.7193459733630396,1.7193459733630396,1.0
20000,0.68633306,26.949579831932773,0.10779601,1.7946926252136017,1.7946926252136017,1.0
30000,0.67132,27.63142857142857,0.21379222,1.863323652641821,1.863323652641821,1.0
40000,0.62325937,29.54434250764526,0.31575626,2.052438866801378,2.052438866801378,1.0
50000,0.5409926,35.52554744525548,0.48229766,2.6571427405753854,2.6571427405753854,1.0
60000,0.3750049,51.255208333333336,0.8792503,4.179581115539161,4.179581115539161,1.0
70000,0.27466604,66.09027777777777,1.2848804,5.692465922807994,5.692465922807994,1.0
80000,0.23345691,78.93700787401575,1.5627565,6.944531597197056,6.944531597197056,1.0
90000,0.22881432,81.54237288135593,1.7543365,7.280833666274945,7.280833666274945,1.0
100000,0.22289014,101.48958333333333,1.9531043,9.248958903675279,9.248958903675279,1.0
110000,0.20082457,116.14942528735632,2.1802397,10.800000659601633,10.800000659601633,1.0
120000,0.18923697,102.46808510638297,2.4761825,9.284043013415438,9.284043013415438,1.0
130000,0.16440725,129.51351351351352,2.6009874,12.014667410055797,12.014667410055797,1.0
140000,0.15940142,121.36904761904762,2.7413118,11.236905442816871,11.236905442816871,1.0
150000,0.14761467,138.55072463768116,3.0580435,12.955073211504066,12.955073211504066,1.0
160000,0.15091556,129.76623376623377,2.9304051,12.076624070282106,12.076624070282106,1.0
170000,0.13986687,154.05882352941177,3.1900644,14.583583050699376,14.583583050699376,1.0
180000,0.13391694,146.47761194029852,3.3075757,13.795455375855619,13.795455375855619,1.0
190000,0.13920432,146.37313432835822,3.3981998,13.627537073864453,13.627537073864453,1.0
200000,0.13180865,136.65277777777777,3.4054313,12.765278558350271,12.765278558350271,1.0
210000,0.125504,152.1818181818182,3.616854,14.318182653549945,14.318182653549945,1.0
220000,0.13051212,158.44444444444446,3.708963,14.959017455089288,14.959017455089288,1.0
230000,0.11845065,164.94230769230768,3.8046544,15.553704770074951,15.553704770074951,1.0
240000,0.12140129,194.31034482758622,3.940447,18.531035788614176,18.531035788614176,1.0
250000,0.11281619,161.92857142857142,4.097328,15.292858231812716,15.292858231812716,1.0
260000,0.10642122,215.43478260869566,4.175619,20.643479754743367,20.643479754743367,1.0
270000,0.11079185,189.24074074074073,4.5419846,18.024075287359732,18.024075287359732,1.0
280000,0.10686076,183.0566037735849,4.54436,17.307408606564557,17.307408606564557,1.0
290000,0.10748736,184.98245614035088,4.443097,17.725001288844005,17.725001288844005,1.0
300000,0.10726755,209.3404255319149,4.714122,19.54255456239619,19.54255456239619,1.0
310000,0.107159436,177.45454545454547,4.8173165,17.144644059240818,17.144644059240818,1.0
320000,0.09806949,221.51111111111112,4.881321,21.25111258890894,21.25111258890894,1.0
330000,0.10315745,195.28571428571428,4.9247794,18.412501391023397,18.412501391023397,1.0
340000,0.099187925,203.4375,5.2192416,19.638777003604538,19.638777003604538,1.0
350000,0.10406787,220.79166666666666,5.1984363,21.179168264692027,21.179168264692027,1.0
360000,0.09708979,186.41176470588235,5.319688,17.741177731284907,17.741177731284907,1.0
370000,0.09269582,193.92592592592592,5.245849,18.330910390615465,18.330910390615465,1.0
380000,0.100217566,208.89795918367346,5.421512,19.98979733853924,19.98979733853924,1.0
390000,0.09458257,171.0204081632653,5.6124196,16.202041940421473,16.202041940421473,1.0
400000,0.09869297,212.16,5.5383105,20.316001511216164,20.316001511216164,1.0
410000,0.096999526,214.375,5.4125104,20.53750150464475,20.53750150464475,1.0
420000,0.10278312,202.22448979591837,5.6604834,19.516668044030666,19.516668044030666,1.0
430000,0.09676053,204.12765957446808,5.6634297,19.314584753786523,19.314584753786523,1.0
440000,0.09976801,222.7608695652174,5.6387115,21.582223899496928,21.582223899496928,1.0
450000,0.096191354,219.80434782608697,5.8425946,20.889363234347485,20.889363234347485,1.0
460000,0.09643901,209.54545454545453,5.8883452,20.054546916349366,20.054546916349366,1.0
470000,0.085874446,225.8125,5.9270945,21.94468246241833,21.94468246241833,1.0
480000,0.08764172,214.09756097560975,5.9399147,20.24285859579132,20.24285859579132,1.0
490000,0.09276237,221.7111111111111,5.9580135,21.27111268175973,21.27111268175973,1.0
500000,0.092852496,242.66666666666666,6.1513557,23.36666846109761,23.36666846109761,1.0
